color_top,color_right,color_bottom,color_left
#1C1CB2,#1AE02B,#1BE02E,#1AE62F
#1E1BB2,#20E536,#1DE233,#1AE531
#1C1CB2,#18DD2B,#20E533,#1AE531
#1C1CB0,#23EA37,#15DA2A,#21EC38
#1C1CB0,#1CDA30,#1EE331,#1AE531
#1C1CB2,#10D525,#2AEF3F,#1DE431
#1C1CB0,#17E12B,#1DE02E,#1AE62F
#1C1CB2,#29E93B,#27E93A,#1DE932
#1C1CB2,#13D829,#22E737,#1BE632
#1B1BB1,#1AE12C,#1BE02E,#1AE62F
#1C1CB0,#08D121,#25EA3A,#1AE62F
#1C1CB0,#1CDE28,#1CDF2D,#1BE52F
#1B1BB1,#2DF243,#22E738,#1CE330
#1C1CB2,#05C91D,#22E737,#22ED39
#1B1BB1,#19DB2F,#0BD020,#1FE633
#1B1BAF,#2AEF40,#13D526,#1BE52F
#1B1BAF,#0ED226,#11D325,#1FE633
#1B1BAF,#1EE333,#21E335,#19E430
#1B1BAF,#04C81C,#10D224,#1BE531
#1B1BAF,#14DD2D,#26EB3C,#1CE831
#1C1CB0,#18DE2F,#1CDE2F,#1CE831
#1E1BB0,#28EC40,#1DDF31,#18E22C
#1C1CB2,#1BDE28,#1CDF2D,#1EE530
#1C1CB0,#21E430,#2CEE3F,#16E22B
#1B1BAF,#19DE2C,#13D326,#1FE631
#1C1CB0,#0FD125,#1EDE33,#1AE62F
#1B1BAF,#10D224,#1BDD2F,#1EE530
#1B1BAF,#14D627,#20E233,#1CE32E
#1C1CB0,#19DB2D,#0BCE1C,#1EE935
#1C1CB0,#1BDE2C,#1CDF2D,#1CE32E
#1B1BAF,#05C41E,#18D930,#1DE431
#1A1AAE,#1BDE2C,#1CDF2D,#1CE32E
#1B1BAF,#00B90E,#29EB3D,#22E936
#1A1AAE,#19DF2A,#1CDF2D,#1CE32E
#1A1AAC,#3AF752,#25E739,#14DB26
#1A1AAC,#00BF19,#0ECF26,#1DE230
#1919AD,#10CF27,#14D427,#21E634
#1A1AAE,#10CF27,#0FD123,#1EE534
#1A1AAE,#15D42C,#13D527,#12D928
#1A1AAE,#00BD16,#0ECE21,#14DB2A
#1A1AAE,#17DD26,#1ADD2B,#20E734
#1A1AAE,#43FA54,#22E435,#20E736
#1A1AAE,#1EDF38,#10D224,#17DE2D
